C:\Users\alexc\AppData\Local\Programs\Python\Python311\python.exe D:\Cojo\agcojocaru-Adapting-unconstrained-spiking-neural-networks-to\experiments\mnist\train_spike_count.py 
2024-05-19 16:38:38.536095: I tensorflow/core/util/port.cc:113] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2024-05-19 16:38:39.575395: I tensorflow/core/util/port.cc:113] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
This network will be trained using DT = 0.015
Numpy seed: 397793767, Cupy seed: 943569308
Loading datasets...
Creating network...
Training...
Train | Epoch 0.1 | Loss: 72.07, Accuracy (%): 43.68, Silent labels (%): 10.57, Time (s): 15.7
Train | Epoch 0.2 | Loss: 62.49, Accuracy (%): 41.05, Silent labels (%): 0.02, Time (s): 31.94
Train | Epoch 0.3 | Loss: 64.6, Accuracy (%): 34.47, Silent labels (%): 0.02, Time (s): 47.08
Train | Epoch 0.4 | Loss: 66.84, Accuracy (%): 29.37, Silent labels (%): 0.02, Time (s): 60.76
Train | Epoch 0.5 | Loss: 68.24, Accuracy (%): 26.55, Silent labels (%): 0.0, Time (s): 73.43
Train | Epoch 0.6 | Loss: 69.48, Accuracy (%): 24.62, Silent labels (%): 0.02, Time (s): 85.2
Train | Epoch 0.7 | Loss: 70.51, Accuracy (%): 22.02, Silent labels (%): 0.0, Time (s): 96.05
Train | Epoch 0.8 | Loss: 70.71, Accuracy (%): 21.33, Silent labels (%): 0.0, Time (s): 106.63
Train | Epoch 0.9 | Loss: 72.26, Accuracy (%): 18.83, Silent labels (%): 0.0, Time (s): 116.55
Train | Epoch 1.0 | Loss: 72.4, Accuracy (%): 19.2, Silent labels (%): 0.0, Time (s): 126.28
Test | Epoch 1.0 | Loss: 73.73, Accuracy (%): 17.03, Learning rate: 0.003, Hidden layer 1 spike counts: 664.18, Output layer spike counts: 31.33, Hidden layer 1 silents (%): 0.62, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 474.6, Output layer weights norm: 60.18, Time (s): 2.36
Best accuracy: 17.03%, Networks save to: best_model
Train | Epoch 1.1 | Loss: 73.15, Accuracy (%): 17.7, Silent labels (%): 0.0, Time (s): 9.08
Train | Epoch 1.2 | Loss: 73.82, Accuracy (%): 17.3, Silent labels (%): 0.0, Time (s): 17.94
Train | Epoch 1.3 | Loss: 74.65, Accuracy (%): 15.75, Silent labels (%): 0.0, Time (s): 26.7
Train | Epoch 1.4 | Loss: 74.68, Accuracy (%): 16.27, Silent labels (%): 0.0, Time (s): 35.31
Train | Epoch 1.5 | Loss: 75.71, Accuracy (%): 15.02, Silent labels (%): 0.0, Time (s): 43.71
Train | Epoch 1.6 | Loss: 76.14, Accuracy (%): 14.03, Silent labels (%): 0.0, Time (s): 51.91
Train | Epoch 1.7 | Loss: 76.34, Accuracy (%): 15.0, Silent labels (%): 0.0, Time (s): 59.95
Train | Epoch 1.8 | Loss: 76.1, Accuracy (%): 15.6, Silent labels (%): 0.0, Time (s): 67.98
Train | Epoch 1.9 | Loss: 77.1, Accuracy (%): 14.68, Silent labels (%): 0.0, Time (s): 75.56
Train | Epoch 2.0 | Loss: 77.74, Accuracy (%): 14.73, Silent labels (%): 0.0, Time (s): 82.95
Test | Epoch 2.0 | Loss: 77.96, Accuracy (%): 13.2, Learning rate: 0.003, Hidden layer 1 spike counts: 515.66, Output layer spike counts: 30.57, Hidden layer 1 silents (%): 1.75, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 490.55, Output layer weights norm: 66.17, Time (s): 2.13
Train | Epoch 2.1 | Loss: 78.0, Accuracy (%): 12.97, Silent labels (%): 0.0, Time (s): 7.14
Train | Epoch 2.2 | Loss: 78.22, Accuracy (%): 13.5, Silent labels (%): 0.0, Time (s): 14.41
Train | Epoch 2.3 | Loss: 78.66, Accuracy (%): 12.73, Silent labels (%): 0.0, Time (s): 21.51
Train | Epoch 2.4 | Loss: 79.19, Accuracy (%): 12.73, Silent labels (%): 0.0, Time (s): 28.61
Train | Epoch 2.5 | Loss: 79.36, Accuracy (%): 12.77, Silent labels (%): 0.0, Time (s): 35.63
Train | Epoch 2.6 | Loss: 79.78, Accuracy (%): 13.28, Silent labels (%): 0.0, Time (s): 42.61
Train | Epoch 2.7 | Loss: 79.73, Accuracy (%): 13.1, Silent labels (%): 0.0, Time (s): 49.5
Train | Epoch 2.8 | Loss: 80.24, Accuracy (%): 12.7, Silent labels (%): 0.0, Time (s): 56.41
Train | Epoch 2.9 | Loss: 80.31, Accuracy (%): 13.02, Silent labels (%): 0.0, Time (s): 63.18
Train | Epoch 3.0 | Loss: 80.57, Accuracy (%): 13.17, Silent labels (%): 0.0, Time (s): 69.9
Test | Epoch 3.0 | Loss: 81.2, Accuracy (%): 12.03, Learning rate: 0.003, Hidden layer 1 spike counts: 451.19, Output layer spike counts: 30.24, Hidden layer 1 silents (%): 1.88, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 506.9, Output layer weights norm: 72.36, Time (s): 2.13
Train | Epoch 3.1 | Loss: 80.6, Accuracy (%): 13.0, Silent labels (%): 0.0, Time (s): 6.5
Train | Epoch 3.2 | Loss: 81.34, Accuracy (%): 11.67, Silent labels (%): 0.0, Time (s): 13.12
Train | Epoch 3.3 | Loss: 81.17, Accuracy (%): 12.65, Silent labels (%): 0.0, Time (s): 19.64
Train | Epoch 3.4 | Loss: 81.42, Accuracy (%): 12.43, Silent labels (%): 0.0, Time (s): 26.09
Train | Epoch 3.5 | Loss: 81.82, Accuracy (%): 12.0, Silent labels (%): 0.0, Time (s): 32.53
Train | Epoch 3.6 | Loss: 81.87, Accuracy (%): 11.82, Silent labels (%): 0.0, Time (s): 38.84
Train | Epoch 3.7 | Loss: 82.09, Accuracy (%): 11.18, Silent labels (%): 0.0, Time (s): 45.23
Train | Epoch 3.8 | Loss: 81.64, Accuracy (%): 12.13, Silent labels (%): 0.0, Time (s): 51.54
Train | Epoch 3.9 | Loss: 81.78, Accuracy (%): 11.2, Silent labels (%): 0.0, Time (s): 57.79
Train | Epoch 4.0 | Loss: 81.66, Accuracy (%): 11.55, Silent labels (%): 0.0, Time (s): 64.05
Test | Epoch 4.0 | Loss: 82.24, Accuracy (%): 10.68, Learning rate: 0.003, Hidden layer 1 spike counts: 394.5, Output layer spike counts: 29.91, Hidden layer 1 silents (%): 1.75, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 524.1, Output layer weights norm: 79.14, Time (s): 2.35
Train | Epoch 4.1 | Loss: 82.24, Accuracy (%): 11.27, Silent labels (%): 0.0, Time (s): 6.42
Train | Epoch 4.2 | Loss: 82.1, Accuracy (%): 11.4, Silent labels (%): 0.0, Time (s): 12.55
Train | Epoch 4.3 | Loss: 81.97, Accuracy (%): 11.25, Silent labels (%): 0.02, Time (s): 18.64
Train | Epoch 4.4 | Loss: 82.01, Accuracy (%): 11.2, Silent labels (%): 0.0, Time (s): 24.71
Train | Epoch 4.5 | Loss: 82.34, Accuracy (%): 9.95, Silent labels (%): 0.0, Time (s): 30.76
Train | Epoch 4.6 | Loss: 82.0, Accuracy (%): 11.23, Silent labels (%): 0.0, Time (s): 36.77
Train | Epoch 4.7 | Loss: 82.38, Accuracy (%): 11.0, Silent labels (%): 0.0, Time (s): 42.69
Train | Epoch 4.8 | Loss: 82.32, Accuracy (%): 10.12, Silent labels (%): 0.0, Time (s): 48.57
Train | Epoch 4.9 | Loss: 82.45, Accuracy (%): 10.43, Silent labels (%): 0.0, Time (s): 54.37
Train | Epoch 5.0 | Loss: 82.34, Accuracy (%): 10.47, Silent labels (%): 0.0, Time (s): 60.15
Test | Epoch 5.0 | Loss: 82.65, Accuracy (%): 10.32, Learning rate: 0.003, Hidden layer 1 spike counts: 359.42, Output layer spike counts: 29.07, Hidden layer 1 silents (%): 1.75, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 542.64, Output layer weights norm: 87.22, Time (s): 1.89
Train | Epoch 5.1 | Loss: 82.35, Accuracy (%): 10.32, Silent labels (%): 0.0, Time (s): 5.79
Train | Epoch 5.2 | Loss: 82.12, Accuracy (%): 10.78, Silent labels (%): 0.0, Time (s): 11.56
Train | Epoch 5.3 | Loss: 82.41, Accuracy (%): 9.85, Silent labels (%): 0.0, Time (s): 17.23
Train | Epoch 5.4 | Loss: 82.98, Accuracy (%): 9.13, Silent labels (%): 0.0, Time (s): 22.93
Train | Epoch 5.5 | Loss: 82.89, Accuracy (%): 9.8, Silent labels (%): 0.0, Time (s): 28.53
Train | Epoch 5.6 | Loss: 82.71, Accuracy (%): 9.77, Silent labels (%): 0.0, Time (s): 34.29
Train | Epoch 5.7 | Loss: 83.06, Accuracy (%): 9.63, Silent labels (%): 0.0, Time (s): 39.85
Train | Epoch 5.8 | Loss: 83.03, Accuracy (%): 9.77, Silent labels (%): 0.0, Time (s): 45.42
Train | Epoch 5.9 | Loss: 82.59, Accuracy (%): 9.98, Silent labels (%): 0.0, Time (s): 50.89
Train | Epoch 6.0 | Loss: 83.03, Accuracy (%): 9.95, Silent labels (%): 0.0, Time (s): 56.32
Test | Epoch 6.0 | Loss: 83.72, Accuracy (%): 8.78, Learning rate: 0.003, Hidden layer 1 spike counts: 331.49, Output layer spike counts: 29.51, Hidden layer 1 silents (%): 1.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 562.0, Output layer weights norm: 95.63, Time (s): 1.76
Train | Epoch 6.1 | Loss: 83.0, Accuracy (%): 10.28, Silent labels (%): 0.0, Time (s): 5.42
Train | Epoch 6.2 | Loss: 82.95, Accuracy (%): 9.52, Silent labels (%): 0.0, Time (s): 10.92
Train | Epoch 6.3 | Loss: 83.39, Accuracy (%): 10.05, Silent labels (%): 0.0, Time (s): 16.36
Train | Epoch 6.4 | Loss: 83.42, Accuracy (%): 9.2, Silent labels (%): 0.0, Time (s): 21.82
Train | Epoch 6.5 | Loss: 83.58, Accuracy (%): 9.4, Silent labels (%): 0.02, Time (s): 27.3
Train | Epoch 6.6 | Loss: 83.68, Accuracy (%): 8.9, Silent labels (%): 0.0, Time (s): 32.69
Train | Epoch 6.7 | Loss: 83.85, Accuracy (%): 9.25, Silent labels (%): 0.0, Time (s): 38.2
Train | Epoch 6.8 | Loss: 83.94, Accuracy (%): 8.92, Silent labels (%): 0.0, Time (s): 43.56
Train | Epoch 6.9 | Loss: 84.13, Accuracy (%): 8.9, Silent labels (%): 0.0, Time (s): 48.91
Train | Epoch 7.0 | Loss: 84.03, Accuracy (%): 8.7, Silent labels (%): 0.0, Time (s): 54.32
Test | Epoch 7.0 | Loss: 84.64, Accuracy (%): 8.35, Learning rate: 0.003, Hidden layer 1 spike counts: 310.12, Output layer spike counts: 28.76, Hidden layer 1 silents (%): 1.75, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 582.41, Output layer weights norm: 103.62, Time (s): 1.66
Train | Epoch 7.1 | Loss: 84.49, Accuracy (%): 8.63, Silent labels (%): 0.0, Time (s): 5.14
Train | Epoch 7.2 | Loss: 84.44, Accuracy (%): 8.77, Silent labels (%): 0.0, Time (s): 10.49
Train | Epoch 7.3 | Loss: 83.82, Accuracy (%): 9.37, Silent labels (%): 0.0, Time (s): 15.74
Train | Epoch 7.4 | Loss: 84.61, Accuracy (%): 8.35, Silent labels (%): 0.0, Time (s): 21.17
Train | Epoch 7.5 | Loss: 85.06, Accuracy (%): 8.15, Silent labels (%): 0.0, Time (s): 26.66
Train | Epoch 7.6 | Loss: 84.71, Accuracy (%): 8.35, Silent labels (%): 0.0, Time (s): 31.98
Train | Epoch 7.7 | Loss: 85.49, Accuracy (%): 7.98, Silent labels (%): 0.0, Time (s): 37.31
Train | Epoch 7.8 | Loss: 85.28, Accuracy (%): 8.27, Silent labels (%): 0.0, Time (s): 43.02
Train | Epoch 7.9 | Loss: 85.37, Accuracy (%): 7.85, Silent labels (%): 0.0, Time (s): 48.43
Train | Epoch 8.0 | Loss: 85.17, Accuracy (%): 8.55, Silent labels (%): 0.0, Time (s): 53.81
Test | Epoch 8.0 | Loss: 85.98, Accuracy (%): 7.03, Learning rate: 0.003, Hidden layer 1 spike counts: 302.52, Output layer spike counts: 29.14, Hidden layer 1 silents (%): 1.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 603.53, Output layer weights norm: 111.26, Time (s): 1.7
Train | Epoch 8.1 | Loss: 85.26, Accuracy (%): 8.3, Silent labels (%): 0.0, Time (s): 5.16
Train | Epoch 8.2 | Loss: 85.81, Accuracy (%): 7.58, Silent labels (%): 0.0, Time (s): 10.49
Train | Epoch 8.3 | Loss: 85.86, Accuracy (%): 7.85, Silent labels (%): 0.0, Time (s): 15.95
Train | Epoch 8.4 | Loss: 86.11, Accuracy (%): 7.42, Silent labels (%): 0.0, Time (s): 21.15
