C:\Users\alexc\AppData\Local\Programs\Python\Python311\python.exe D:\Cojo\agcojocaru-Adapting-unconstrained-spiking-neural-networks-to\experiments\mnist\train_spike_count.py 
2024-05-16 14:38:05.419071: I tensorflow/core/util/port.cc:113] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2024-05-16 14:38:06.328611: I tensorflow/core/util/port.cc:113] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
This network will be trained using DT = 0.05
Numpy seed: 599816849, Cupy seed: 524483391
Loading datasets...
Creating network...
Training...
Train | Epoch 0.1 | Loss: 120.04, Accuracy (%): 8.75, Silent labels (%): 26.17, Time (s): 16.93
Train | Epoch 0.2 | Loss: 123.15, Accuracy (%): 10.2, Silent labels (%): 19.77, Time (s): 37.4
Train | Epoch 0.3 | Loss: 123.45, Accuracy (%): 9.93, Silent labels (%): 20.45, Time (s): 58.92
Train | Epoch 0.4 | Loss: 123.51, Accuracy (%): 9.55, Silent labels (%): 20.92, Time (s): 80.96
Train | Epoch 0.5 | Loss: 123.47, Accuracy (%): 9.82, Silent labels (%): 20.57, Time (s): 103.29
Train | Epoch 0.6 | Loss: 123.45, Accuracy (%): 10.28, Silent labels (%): 20.42, Time (s): 125.85
Train | Epoch 0.7 | Loss: 123.44, Accuracy (%): 9.0, Silent labels (%): 20.3, Time (s): 148.69
Train | Epoch 0.8 | Loss: 123.46, Accuracy (%): 9.97, Silent labels (%): 20.5, Time (s): 171.83
Train | Epoch 0.9 | Loss: 123.4, Accuracy (%): 10.37, Silent labels (%): 20.02, Time (s): 195.06
Train | Epoch 1.0 | Loss: 123.33, Accuracy (%): 9.52, Silent labels (%): 19.4, Time (s): 218.37
Test | Epoch 1.0 | Loss: 123.41, Accuracy (%): 9.8, Learning rate: 0.003, Hidden layer 1 spike counts: 857.21, Output layer spike counts: 8.0, Hidden layer 1 silents (%): 0.38, Output layer silents (%): 20.0, Hidden layer 1 weights norm: 494.9, Output layer weights norm: 84.59, Time (s): 2.05
Best accuracy: 9.8%, Networks save to: best_model
Train | Epoch 1.1 | Loss: 123.41, Accuracy (%): 9.63, Silent labels (%): 20.1, Time (s): 23.12
Train | Epoch 1.2 | Loss: 123.46, Accuracy (%): 10.0, Silent labels (%): 20.53, Time (s): 46.51
Train | Epoch 1.3 | Loss: 123.39, Accuracy (%): 9.67, Silent labels (%): 19.95, Time (s): 69.81
Train | Epoch 1.4 | Loss: 123.36, Accuracy (%): 9.88, Silent labels (%): 19.67, Time (s): 93.04
Train | Epoch 1.5 | Loss: 123.49, Accuracy (%): 10.08, Silent labels (%): 20.78, Time (s): 116.28
Train | Epoch 1.6 | Loss: 123.36, Accuracy (%): 9.98, Silent labels (%): 19.67, Time (s): 139.57
Train | Epoch 1.7 | Loss: 123.42, Accuracy (%): 9.93, Silent labels (%): 20.2, Time (s): 162.89
Train | Epoch 1.8 | Loss: 123.38, Accuracy (%): 9.57, Silent labels (%): 19.83, Time (s): 186.4
Train | Epoch 1.9 | Loss: 123.51, Accuracy (%): 9.93, Silent labels (%): 20.92, Time (s): 209.68
Train | Epoch 2.0 | Loss: 123.42, Accuracy (%): 10.03, Silent labels (%): 20.13, Time (s): 233.16
Test | Epoch 2.0 | Loss: 123.41, Accuracy (%): 9.8, Learning rate: 0.003, Hidden layer 1 spike counts: 861.78, Output layer spike counts: 8.0, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 20.0, Hidden layer 1 weights norm: 547.19, Output layer weights norm: 119.1, Time (s): 2.17
Train | Epoch 2.1 | Loss: 123.37, Accuracy (%): 10.02, Silent labels (%): 19.77, Time (s): 23.27
Train | Epoch 2.2 | Loss: 123.41, Accuracy (%): 9.4, Silent labels (%): 20.05, Time (s): 46.57
Train | Epoch 2.3 | Loss: 123.46, Accuracy (%): 9.32, Silent labels (%): 20.53, Time (s): 69.9
Train | Epoch 2.4 | Loss: 123.37, Accuracy (%): 9.83, Silent labels (%): 19.78, Time (s): 93.27
Train | Epoch 2.5 | Loss: 123.43, Accuracy (%): 9.93, Silent labels (%): 20.25, Time (s): 116.72
Train | Epoch 2.6 | Loss: 123.39, Accuracy (%): 10.2, Silent labels (%): 19.92, Time (s): 140.19
Train | Epoch 2.7 | Loss: 123.39, Accuracy (%): 10.32, Silent labels (%): 19.88, Time (s): 163.6
Train | Epoch 2.8 | Loss: 123.46, Accuracy (%): 9.93, Silent labels (%): 20.48, Time (s): 187.08
